label,qname,family
1,hloqhdivvete.com,necurs
1,lpyufsvhmypoycie.sc,necurs
1,bachdcb.me,necurs
1,frxdfuklw.ru,necurs
1,dvgibsngg.co,necurs
1,pwlcvog.su,necurs
1,koxvimmaqnuaksnhyv.com,necurs
1,ctjrcmbwfqb.net,necurs
1,wjkeuqrvytgqoqrav.mu,necurs
1,nwruykamomct.us,necurs
1,jypqiunaumub.com,necurs
1,iydjvtlryuvasq.la,necurs
1,vbnvdfbwfcwukbhurvkj.sx,necurs
1,yidwogrusslucrhtce.net,necurs
1,huqjbsphafykevnpkjey.cc,necurs
1,bywmndyapbsqgh.ug,necurs
1,oupqwotwklohkwkkuc.mx,necurs
1,nvjmhycsdswalt.biz,necurs
1,ajgscudpir.eu,necurs
1,oivmsqpsabjdcmfbbnx.mu,necurs
1,txavbiercsdqmaysqrh.org,necurs
1,fhaohpjr.ga,necurs
1,pkblciocxnvt.xxx,necurs
1,yigayxjt.tj,necurs
1,msxashdoqmemm.us,necurs
1,athbuqw.ga,necurs
1,fmvwullbr.me,necurs
1,klimpttyobm.nf,necurs
1,xedpkwsrivvuokxwa.ki,necurs
1,pphhecss.me,necurs
1,awpusbllbc.sc,necurs
1,yecqqecceisjqacxkd.biz,necurs
1,jbqlvudo.in,necurs
1,ynxuvngtlstxirig.mx,necurs
1,wcadqgopvqjpejkypegs.pro,necurs
1,tnkqpxkvgynivui.biz,necurs
1,cigjwkqomcfswcfcjsnpu.nu,necurs
1,obmyqmkdqaqdgsnk.me,necurs
1,prysekcluyagef.tw,necurs
1,ilhadlokhbvuj.mn,necurs
1,laksdcw.sh,necurs
1,bismwcwfldqmulx.sh,necurs
1,orpfljnsldm.jp,necurs
1,aofkwddjduixw.ug,necurs
1,fxekgjbnvvvbl.bz,necurs
1,wpgogunfvckaciqecc.ru,necurs
1,gonmmyprm.cx,necurs
1,mqretthdenaaequoh.so,necurs
1,fuxpjysaxndtmihgh.me,necurs
1,xbsurou.nu,necurs
1,vpfhuvb.mn,necurs
1,ledqnbojt.xxx,necurs
1,gwjsvivfrkw.ki,necurs
1,btkjpkpsfvlroyfwym.tv,necurs
1,mbpmadfaigwnlwqj.mx,necurs
1,mxjihywvqowun.mu,necurs
1,rvywassqb.la,necurs
1,xmagnidqaqqybyx.mx,necurs
1,mnntmecexaoxgeogkxnq.cc,necurs
1,glwsvkfuiylxlswhmdn.sc,necurs
1,jwwomgei.ac,necurs
1,ritxhgrrkxgltf.jp,necurs
1,suugnijr.ga,necurs
1,rtdftewhm.ug,necurs
1,aisljlqx.mu,necurs
1,ovffkhgreposru.bz,necurs
1,xubpwsisegyy.tw,necurs
1,slbbokllx.su,necurs
1,rbijoogvyfmascwwujr.ms,necurs
1,dfxdbdnvyp.tw,necurs
1,xdvcpmrydrpaidegaeq.so,necurs
1,yaikqawaognvlvdpfdbci.net,necurs
1,budwxptb.tv,necurs
1,ueknrgvwcsqfdnyyvjqxm.mn,necurs
1,jjhnqkwgxndi.nf,necurs
1,ucpeynwpcjikvngfdj.im,necurs
1,sewusflxdsjtuoe.bz,necurs
1,alcjkwcsjfemjxuhq.ms,necurs
1,wtspgehita.ki,necurs
1,jmbbdwlivbddeljrerai.so,necurs
1,qfvuvqfepj.ug,necurs
1,pqnqdqhvkyqqrktu.me,necurs
1,aransqcjkg.tv,necurs
1,mgrguwobralvegeerixj.tj,necurs
1,qtybncuxqu.us,necurs
1,rbyulsyxemynxhlttruo.im,necurs
1,ogskhkljbhosxnek.de,necurs
1,roefpvqwyfwwnmie.ug,necurs
1,vvrbwxuioleurpeur.tv,necurs
1,duaufnx.ir,necurs
1,tmilayi.co,necurs
1,xlcxolkkvuwgakherdxf.sh,necurs
1,ynedikmxjw.mu,necurs
