label,qname,family
1,f3x1n345petw4wp30uhu.ddns.net,corebot
1,j1vq01f7f58o8w8slktq.ddns.net,corebot
1,a6y2y6qlk4q21hk6kdcta.ddns.net,corebot
1,tilkxshcxcr3dcrqnepa.ddns.net,corebot
1,rirapk47pu21hc67.ddns.net,corebot
1,1rg2cvi4shq4uhabede.ddns.net,corebot
1,m8wbubk2m0kxgfi.ddns.net,corebot
1,dqha6efs6s4m.ddns.net,corebot
1,c0cvofabo2ypohcda6k.ddns.net,corebot
1,6g8k2wbktqngfs.ddns.net,corebot
1,7pmbm2kjwtudg.ddns.net,corebot
1,yvsfwlorilwl10wj12wja.ddns.net,corebot
1,o4wd7xujapo8idgn1dcdm.ddns.net,corebot
1,tyb3ha612yjwjmfi.ddns.net,corebot
1,h52sxy8ov3f1b1bgva8i2a.ddns.net,corebot
1,3jkfi6ohytyjsve.ddns.net,corebot
1,sp70o0efmxofy0o2ifk8mbw.ddns.net,corebot
1,ryj7lsds4kpop7d7l3.ddns.net,corebot
1,u8wb7r1jo0s8idkly.ddns.net,corebot
1,5lmfmhsdg07f3ludgpkbk.ddns.net,corebot
1,c4ufi4147b3tm0wvs.ddns.net,corebot
1,lorwtm8gfc0k.ddns.net,corebot
1,27ba0m8305ngtelox3vwbo.ddns.net,corebot
1,xu4qvyl1tg2uh5n7.ddns.net,corebot
1,ylo67rcp52wfoju4a.ddns.net,corebot
1,bgh5bivihanod3dk41.ddns.net,corebot
1,d5xydsngdkri4ap52y.ddns.net,corebot
1,dmrutebsbatmhytk.ddns.net,corebot
1,jkvmbgtghcnsr3.ddns.net,corebot
1,ivi4ibibg8mx3rs.ddns.net,corebot
1,gbefmls8mhg21h7pk8q.ddns.net,corebot
1,81rmdilubw4g05n3vg.ddns.net,corebot
1,2y6ujatgxcj1js0spu.ddns.net,corebot
1,cdq4kfwhg6obqda.ddns.net,corebot
1,k0c6anq8525nul5xy4sholk.ddns.net,corebot
1,t38q0gxghaxwhapcre.ddns.net,corebot
1,3no0qn5dk230ebol5b7fw.ddns.net,corebot
1,7nuxk834c0whkheje63.ddns.net,corebot
1,c0567xgvcv387h7n3.ddns.net,corebot
1,05pyf1hshory.ddns.net,corebot
1,x5dqrsj7l5bk6gxm.ddns.net,corebot
1,yfubmxadexqfwnkvk63jevk.ddns.net,corebot
1,4wda6kdm0y2or5xsf3ro.ddns.net,corebot
1,vmtk476mt7ps0yrkxcx3.ddns.net,corebot
1,dwl14q2etwhsj30s07jedm.ddns.net,corebot
1,xmjmh54elwrkti8yx3tg.ddns.net,corebot
1,47n16a25x5tevopov1.ddns.net,corebot
1,21v7rmpm6unu.ddns.net,corebot
1,50wr5hi4elexc.ddns.net,corebot
1,wrgb58crk4stejsrk0o.ddns.net,corebot
1,ong0e4ipkjk4ujq.ddns.net,corebot
1,utu27bkbahc0ypqnm8q21nk.ddns.net,corebot
1,g8kjg0wpyji03pu0ujm.ddns.net,corebot
1,c2kxwvu4ut7hwj5.ddns.net,corebot
1,w6k45tqba4w6s.ddns.net,corebot
1,jmn7fsxibsdyvi.ddns.net,corebot
1,i85byn7pqbupu.ddns.net,corebot
1,o6y0a4kfut38m.ddns.net,corebot
1,581b7vqbil3v1vax3xcby.ddns.net,corebot
1,1b7x7hsnufi8c270s6utw.ddns.net,corebot
1,hgfwls23pk030evy.ddns.net,corebot
1,x703lqbg6ila6cv1fg.ddns.net,corebot
1,0ityj7nq2s0k41hwb78w.ddns.net,corebot
1,detitobyhytun5nq47.ddns.net,corebot
1,sxov7nebqfwn7hurw8ar1.ddns.net,corebot
1,74slcvwpefg2a.ddns.net,corebot
1,5xojo2ovkbmvevg.ddns.net,corebot
1,ihcpsnk6u6uxgtivk8ifu.ddns.net,corebot
1,7jkp14iradkfipilgtop3.ddns.net,corebot
1,k8o6s2c65psfm.ddns.net,corebot
1,uvgnkpebonypk2q.ddns.net,corebot
1,2cbwvkjwn76ob3ve.ddns.net,corebot
1,jylgtepmjkhejg47bgl1.ddns.net,corebot
1,6wfk0krqnylajkhely.ddns.net,corebot
1,o0o0q0ipij34y.ddns.net,corebot
1,0cfkfmtofgv1p1b1ta.ddns.net,corebot
1,1xutyjgvitov70w.ddns.net,corebot
1,krupkjs0q0yrud1.ddns.net,corebot
1,wf5v5vivwhgdw2o2i.ddns.net,corebot
1,f1hshob3056e8on56u.ddns.net,corebot
1,5tudcnivqvm6o2qba85nc.ddns.net,corebot
1,wr7vw2spa4wb5.ddns.net,corebot
1,0e6kxexadkhkjcnixe0oxe.ddns.net,corebot
1,nw6eberyti6m4k8w.ddns.net,corebot
1,rybapcxgxkn5hy.ddns.net,corebot
1,tix5jcnanclc8cvwtal7.ddns.net,corebot
1,nc4qhqx1rehilu.ddns.net,corebot
1,1xghmp5twfmfk0o.ddns.net,corebot
1,5bu4oxqpcla0cpu4wlglkfq.ddns.net,corebot
1,kjwbkjclcn1vo.ddns.net,corebot
1,kxkpwjc0q8i41lk8epiv5.ddns.net,corebot
1,3p3pyp54wrex3fcfo.ddns.net,corebot
1,vs2otu2e45dwj5650cfa.ddns.net,corebot
1,3jghs2kx1rw0ij70a2obypa.ddns.net,corebot
1,gds0idotihyt5hcfg.ddns.net,corebot
1,cn78g2cre43nybwh7.ddns.net,corebot
1,x101b5hity454i.ddns.net,corebot
1,yvefgvkd38a8u0un7x7ps.ddns.net,corebot
1,8mfirmnypejure4385lg65.ddns.net,corebot
1,did50idedw05fip56w.ddns.net,corebot
1,4avsdsdkxg0w.ddns.net,corebot
1,yvuv3ni474o2m6qvihink.ddns.net,corebot
1,or70c2cb5f5dmt3bid7ps.ddns.net,corebot
